Spot,Mag,Potas,Thor,Uran
178,76,255,78,124
164,76,255,77,125
166,76,255,76,129
151,76,255,73,129
110,76,255,70,134
176,76,255,66,135
100,76,201,61,93
137,76,192,61,91
170,76,252,63,111
214,76,231,64,102
96,77,85,52,36
42,77,224,57,81
51,77,185,58,67
212,77,255,66,87
151,77,213,65,76
142,77,255,73,94
229,77,241,70,84
181,77,255,77,91
212,77,231,74,82
147,77,255,79,92
32,77,255,86,109
66,77,255,85,120
176,77,255,80,125
102,77,255,81,127
198,77,255,80,123
192,77,255,81,125
200,77,255,85,127
181,77,255,82,125
176,77,255,84,123
197,77,255,84,123
156,77,255,79,124
166,77,255,78,128
47,77,255,75,131
139,77,255,73,132
170,77,255,65,133
181,77,255,62,129
181,77,255,59,123
180,77,255,62,115
105,77,215,63,93
44,77,217,63,93
66,77,224,63,91
64,77,255,80,104
108,77,255,78,107
76,77,255,75,108
234,77,255,75,109
190,77,255,75,108
158,77,255,76,105
62,77,255,77,92
85,77,255,76,96
100,77,255,77,98
108,77,255,78,100
255,77,255,79,103
130,77,255,79,103
175,77,255,78,102
205,77,255,77,87
120,77,255,80,92
188,77,255,82,99
173,77,255,81,101
137,77,255,77,102
78,77,255,76,79
79,77,255,83,83
34,77,255,84,93
52,77,255,82,98
85,77,255,78,101
105,77,250,74,73
100,77,255,80,79
54,77,255,82,90
108,77,255,82,96
76,77,255,80,100
6,77,255,77,76
54,77,255,81,88
100,77,255,82,94
100,77,255,81,98
22,77,245,74,75
124,77,255,79,85
144,77,255,81,91
136,77,255,83,96
0,78,255,80,120
1,78,255,74,133
32,78,255,68,142
15,78,255,65,147
6,78,255,63,147
44,78,255,66,141
27,78,255,81,121
102,78,255,74,134
255,78,255,68,145
207,78,255,64,150
202,78,255,64,149
163,78,255,68,142
156,78,255,76,136
214,78,255,71,146
187,78,255,68,150
156,78,71,49,35
95,78,74,47,34
115,78,102,53,38
27,78,255,81,99
204,78,255,81,99
47,78,255,88,117
45,78,255,86,122
110,78,255,83,128
158,78,255,81,131
124,78,255,83,129
159,78,255,85,131
200,78,255,88,128
192,78,255,88,124
188,78,255,66,130
176,78,255,65,130
125,78,255,64,129
102,78,255,65,124
164,78,255,89,120
146,78,255,73,127
204,78,255,73,127
187,78,255,71,128
185,78,255,68,130
176,78,255,65,131
42,78,255,66,126
20,78,252,68,117
129,78,229,69,107
95,78,210,70,99
98,78,201,70,97
185,78,255,80,124
255,78,255,76,115
192,78,255,76,118
44,78,255,78,120
113,78,255,78,122
40,78,255,76,125
95,78,255,73,128
8,78,255,70,129
25,78,255,69,126
49,78,255,70,118
30,78,238,71,108
74,78,220,71,99
129,78,213,71,97
103,78,215,68,100
51,78,229,67,106
64,78,243,67,112
88,78,255,75,131
166,78,255,77,106
130,78,255,77,107
100,78,255,79,109
156,78,255,81,112
56,78,255,82,118
0,78,255,80,123
3,78,255,76,127
39,78,255,73,128
66,78,255,72,126
74,78,255,71,119
45,78,245,71,109
40,78,229,72,100
51,78,224,72,97
100,78,227,72,98
59,78,238,70,103
64,78,252,71,109
54,78,255,73,113
158,78,255,74,132
224,78,255,71,133
105,78,224,63,93
95,78,199,74,84
56,78,215,75,92
74,78,238,76,98
130,78,255,78,102
168,78,255,81,105
105,78,255,83,107
226,78,255,83,112
222,78,255,82,120
132,78,255,79,127
42,78,255,74,129
30,78,255,72,127
69,78,255,70,122
83,78,255,70,110
76,78,243,71,102
105,78,238,73,96
22,78,243,74,97
30,78,250,73,101
45,78,255,75,104
74,78,255,77,109
100,78,255,79,112
195,78,255,63,111
161,78,255,66,108
198,78,245,66,98
61,78,176,70,72
28,78,197,72,82
90,78,217,75,89
110,78,243,78,96
40,78,255,82,100
59,78,255,85,103
91,78,255,84,110
154,78,255,83,119
180,78,255,80,125
146,78,255,76,128
57,78,255,73,127
88,78,255,70,123
69,78,255,69,112
71,78,255,69,103
59,78,252,74,96
113,78,255,74,96
163,78,255,76,99
25,78,255,78,101
28,78,255,81,103
168,78,255,83,106
141,78,255,83,111
64,78,178,69,71
20,78,199,73,83
32,78,222,76,90
98,78,252,81,96
171,78,255,84,101
88,78,255,84,108
205,78,255,83,116
139,78,255,81,124
146,78,255,77,127
107,78,255,72,127
20,78,255,70,123
51,78,255,67,115
66,78,255,69,105
54,78,255,71,100
193,78,255,75,96
74,78,255,76,97
11,78,255,80,97
35,78,255,83,100
132,78,255,85,102
0,78,255,86,108
47,78,178,70,76
42,78,204,75,85
6,78,231,81,91
79,78,255,83,97
73,78,255,84,105
37,78,255,84,113
147,78,255,82,121
180,78,255,79,124
168,78,255,74,124
85,78,255,70,122
57,78,255,67,116
119,78,255,70,106
32,78,255,73,101
30,78,255,76,97
35,78,255,77,98
40,78,255,82,95
37,78,255,84,96
37,78,255,87,101
51,78,255,89,106
61,78,255,86,112
149,78,159,69,69
119,78,180,75,78
79,78,208,79,86
76,78,241,81,93
170,78,255,84,100
76,78,255,83,108
34,78,255,83,115
139,78,255,79,117
214,78,255,74,117
180,78,255,72,116
45,78,255,72,112
93,78,255,73,106
62,78,255,77,101
3,78,255,77,98
13,78,255,78,97
37,78,255,81,96
45,78,255,85,98
85,78,255,87,103
69,78,255,90,108
25,78,255,88,113
134,78,157,73,72
28,78,185,76,81
71,78,215,78,87
79,78,241,79,93
100,78,255,81,98
207,78,255,77,102
107,78,255,76,99
134,78,255,77,100
76,78,255,79,102
6,78,255,83,103
13,78,255,86,106
25,78,255,90,112
64,78,255,90,115
108,78,136,70,66
54,78,159,73,74
56,78,187,75,80
20,78,215,76,87
40,78,238,77,89
224,78,255,75,101
168,78,255,74,104
154,78,255,77,108
132,78,255,80,110
221,78,255,84,113
164,78,255,87,117
156,78,255,91,119
107,78,115,68,61
141,78,139,70,68
98,78,162,72,74
79,78,190,72,78
144,78,213,72,80
103,78,236,72,82
108,78,255,74,84
180,78,255,73,103
188,78,255,72,109
134,78,255,74,113
209,78,255,78,117
127,78,255,82,119
102,78,255,86,122
115,78,255,91,124
110,78,118,67,63
91,78,141,69,69
125,78,166,70,71
83,78,190,69,72
51,78,215,68,73
59,78,238,70,75
132,78,255,74,105
120,78,255,71,110
125,78,255,73,117
207,78,255,76,122
215,78,255,81,124
255,78,255,84,129
238,78,255,90,129
210,78,108,66,62
45,78,127,69,64
45,78,150,69,66
54,78,176,67,67
20,78,201,66,67
25,78,227,68,69
125,78,255,76,103
108,78,255,75,109
62,78,255,76,116
130,78,255,79,122
170,78,255,82,127
136,78,255,87,131
229,78,255,93,133
44,78,146,70,63
49,78,171,67,64
79,78,194,66,64
44,78,220,68,67
39,78,243,71,70
110,78,255,80,101
86,78,255,79,105
173,78,255,80,111
95,78,255,83,118
85,78,255,86,124
107,78,255,90,131
69,78,255,96,135
57,78,173,66,63
45,78,194,65,64
34,78,215,67,66
25,78,231,70,69
129,78,255,83,98
166,78,255,84,99
144,78,255,85,103
69,78,255,86,110
27,78,255,89,119
23,78,255,92,127
25,78,199,63,65
56,78,213,66,64
124,78,224,68,68
93,78,234,72,73
51,78,243,76,83
129,78,248,79,89
102,78,252,81,93
81,78,255,84,94
180,78,255,86,95
39,78,255,88,97
32,78,255,89,104
11,78,255,90,113
51,78,255,93,122
35,78,204,60,66
34,78,213,62,65
141,78,217,66,68
195,78,220,70,71
47,78,227,74,80
204,78,234,76,86
210,78,238,78,90
241,78,241,82,89
73,78,248,86,88
27,78,255,91,88
18,78,255,89,97
1,78,255,89,105
13,78,215,60,65
71,78,210,64,67
164,78,208,67,69
47,78,215,70,77
32,78,220,73,83
166,78,222,75,86
83,78,222,80,83
0,78,229,84,82
54,78,238,88,82
98,78,201,62,65
61,78,199,65,66
37,78,201,67,73
30,78,204,69,78
42,78,206,71,81
52,78,204,77,78
56,78,208,81,76
71,79,217,77,107
39,79,255,66,144
30,79,255,65,143
56,79,255,66,139
91,79,255,69,133
74,79,255,74,129
20,79,229,83,107
59,79,255,69,135
49,79,255,74,131
45,79,255,70,135
71,79,255,74,132
20,79,255,82,122
173,79,255,69,147
93,79,255,71,143
44,79,255,72,137
105,79,255,78,137
166,79,255,75,148
180,79,255,74,149
221,79,255,74,146
61,79,76,49,34
159,79,81,45,36
110,79,83,43,39
100,79,69,44,40
129,79,159,53,57
66,79,132,53,47
113,79,255,72,115
102,79,255,77,123
54,79,255,81,121
28,79,255,85,122
54,79,255,87,123
93,79,255,85,109
146,79,255,66,112
103,79,252,70,107
61,79,234,74,103
56,79,220,75,98
98,79,255,87,126
159,79,255,62,118
68,79,255,60,114
49,79,255,65,109
74,79,255,70,106
100,79,236,73,101
90,79,222,75,98
59,79,220,73,95
42,79,220,71,95
37,79,255,85,127
112,79,255,68,119
59,79,255,62,117
52,79,255,60,113
61,79,255,64,109
42,79,255,69,106
74,79,241,74,101
25,79,227,74,97
25,79,222,72,95
28,79,220,71,93
90,79,222,69,92
51,79,227,67,92
164,79,255,81,132
103,79,255,75,122
124,79,255,68,119
103,79,255,62,119
85,79,255,60,114
40,79,255,63,111
45,79,255,68,108
25,79,245,73,103
44,79,229,75,99
139,79,222,74,98
151,79,222,72,96
119,79,220,69,94
79,79,222,69,94
57,79,222,67,97
231,79,255,80,135
120,79,255,74,124
56,79,255,69,122
11,79,255,62,121
69,79,255,60,117
73,79,255,63,115
113,79,255,67,111
42,79,250,71,107
64,79,231,74,102
52,79,220,73,98
66,79,215,72,96
113,79,215,70,95
108,79,215,68,96
149,79,217,68,100
173,79,222,67,103
91,79,255,82,132
86,79,255,77,130
56,79,255,72,128
98,79,255,67,125
156,79,255,63,124
166,79,255,62,121
227,79,255,61,120
164,79,255,65,117
93,79,255,68,112
56,79,234,72,104
95,79,217,73,99
90,79,208,72,96
100,79,206,69,95
10,79,208,67,98
6,79,213,66,102
147,79,224,67,108
44,79,236,66,113
178,79,245,66,115
71,79,255,82,137
5,79,255,81,129
10,79,255,75,133
0,79,255,69,133
13,79,255,67,131
45,79,255,65,129
170,79,255,64,126
214,79,255,63,125
153,79,255,64,124
147,79,255,66,118
34,79,238,70,110
64,79,220,71,102
34,79,206,70,97
74,79,197,67,97
18,79,199,65,100
115,79,210,64,107
175,79,227,65,113
214,79,241,67,118
187,79,252,69,122
52,79,255,68,120
151,79,255,78,142
170,79,255,84,134
246,79,255,82,136
227,79,255,80,129
173,79,255,75,134
210,79,255,69,134
251,79,255,68,133
215,79,255,67,132
45,79,248,68,115
103,79,224,69,105
69,79,206,69,98
95,79,197,69,96
44,79,201,64,101
25,79,215,63,108
190,79,231,64,116
219,79,248,67,122
193,79,255,70,125
71,79,255,70,124
66,79,255,68,121
85,79,255,70,112
227,79,255,79,138
204,79,255,85,131
185,79,255,90,123
47,79,255,80,123
61,79,255,81,127
149,79,255,81,130
166,79,255,78,125
214,79,255,74,125
222,79,255,73,126
17,79,206,65,101
51,79,220,64,109
141,79,238,64,117
214,79,252,67,122
32,79,255,70,126
1,79,255,70,125
27,79,255,68,122
219,79,255,71,113
244,79,255,78,105
231,79,255,86,97
159,79,255,74,136
190,79,255,80,131
173,79,255,86,126
185,79,255,89,121
139,79,255,85,121
125,79,241,78,109
188,79,243,80,113
183,79,250,80,117
113,79,255,78,115
100,79,255,69,118
13,79,255,72,123
164,79,255,72,123
224,79,255,68,122
219,79,255,72,113
209,79,255,78,107
197,79,255,85,101
11,79,255,79,126
30,79,255,83,124
113,79,255,90,120
200,79,255,86,122
119,79,255,78,125
166,79,255,74,128
66,79,213,76,94
0,79,220,77,97
76,79,234,78,103
119,79,255,75,117
205,79,255,75,119
141,79,255,74,118
161,79,255,72,116
122,79,255,77,109
180,79,255,84,105
129,79,255,91,103
40,79,255,86,116
23,79,255,86,119
22,79,255,80,124
56,79,255,73,132
17,79,255,76,131
61,79,204,63,91
144,79,185,75,78
178,79,255,79,114
159,79,255,77,116
156,79,255,74,116
215,79,255,74,115
187,79,255,81,111
113,79,255,88,108
110,79,255,96,104
35,79,255,75,129
122,79,255,71,129
166,79,255,67,125
170,79,255,64,123
161,79,255,63,118
209,79,243,64,92
35,79,248,64,91
32,79,255,64,90
154,79,162,71,65
61,79,255,81,114
141,79,255,76,118
175,79,255,76,118
96,79,255,80,116
197,79,255,86,112
181,79,255,94,107
134,79,141,67,52
45,79,157,67,60
108,79,255,84,113
176,79,255,80,117
197,79,255,77,119
210,79,255,79,121
120,79,255,84,116
54,79,255,92,111
59,79,255,97,108
113,79,141,65,50
153,79,159,67,62
71,79,255,82,117
81,79,255,79,122
79,79,255,79,125
22,79,255,84,119
76,79,255,92,114
124,79,255,98,109
85,79,129,65,43
137,79,143,66,56
62,79,255,85,118
62,79,255,82,124
56,79,255,82,126
44,79,255,86,122
45,79,255,93,115
10,79,255,98,111
76,79,125,65,49
95,79,139,68,63
190,79,255,87,121
156,79,255,86,125
173,79,255,87,126
124,79,255,90,121
170,79,255,94,116
144,79,255,96,111
190,79,255,96,113
98,79,118,68,57
187,79,255,92,122
193,79,255,92,125
168,79,255,94,123
217,79,255,96,119
219,79,255,96,115
180,79,255,95,113
205,79,255,95,114
98,79,99,66,52
195,79,255,93,126
193,79,255,99,125
166,79,255,103,119
181,79,255,103,115
153,79,255,99,115
163,79,255,95,115
141,79,255,94,115
37,79,99,64,56
185,79,255,97,130
156,79,255,105,124
136,79,255,114,114
161,79,255,111,112
187,79,255,102,114
146,79,255,95,116
52,79,92,62,54
241,79,255,101,132
86,79,255,112,123
154,79,255,125,111
88,79,255,118,109
81,79,255,104,114
23,79,255,96,116
113,79,104,63,61
20,79,122,69,62
113,79,255,104,133
68,79,255,117,124
83,79,255,131,108
27,79,255,120,109
54,79,255,107,116
18,79,125,68,60
20,79,148,69,62
69,79,255,98,133
69,79,255,107,133
44,79,255,119,123
51,79,255,132,110
69,79,255,120,113
81,79,255,110,117
40,79,155,64,63
52,79,178,63,64
153,79,255,100,130
200,79,255,108,131
98,79,255,117,124
27,79,255,126,114
27,79,255,118,115
90,79,162,60,64
40,79,185,60,65
173,79,255,92,118
244,79,255,99,126
200,79,255,106,129
193,79,255,112,124
103,79,255,117,120
170,79,255,114,118
56,79,192,56,66
59,79,206,57,65
30,79,255,87,90
127,79,255,88,100
190,79,255,89,112
178,79,255,93,123
159,79,255,101,126
144,79,255,106,124
170,79,255,109,122
85,79,192,54,66
35,79,204,54,64
105,79,206,58,64
115,79,217,85,75
90,79,243,84,84
222,79,255,85,93
210,79,255,86,105
146,79,255,90,117
158,79,255,97,122
32,80,241,78,117
71,80,255,69,140
103,80,255,77,125
95,80,255,80,121
64,80,255,78,128
81,80,255,80,123
147,80,241,86,109
158,80,255,77,129
90,80,255,81,126
181,80,252,88,111
71,80,255,75,134
190,80,255,78,132
69,80,255,83,124
125,80,255,76,144
32,80,255,76,140
71,80,255,80,135
61,80,255,79,134
227,80,255,84,127
248,80,255,81,139
205,80,255,80,146
238,80,255,79,146
158,80,255,80,147
141,80,255,80,144
151,80,255,80,142
100,80,76,42,40
113,80,62,48,40
93,80,64,50,39
102,80,187,54,65
171,80,255,82,140
56,80,255,85,130
146,80,255,87,119
190,80,255,81,115
100,80,255,71,113
34,80,255,63,117
83,80,255,58,115
81,80,255,81,145
23,80,255,82,138
25,80,255,84,129
69,80,255,86,119
22,80,255,77,116
54,80,255,69,114
69,80,255,63,116
45,80,255,58,114
51,80,243,64,107
49,80,220,70,101
76,80,199,75,98
102,80,190,78,98
30,80,255,81,144
39,80,255,81,142
49,80,255,81,136
224,80,255,82,129
103,80,255,85,119
11,80,255,74,118
25,80,255,67,115
30,80,255,61,117
56,80,255,63,113
85,80,248,66,108
98,80,224,71,102
79,80,206,75,99
74,80,199,77,99
39,80,204,77,100
139,80,215,73,103
113,80,227,71,106
73,80,255,81,142
113,80,255,81,139
93,80,255,81,134
144,80,255,81,128
49,80,255,77,123
51,80,255,71,120
56,80,255,65,116
74,80,255,61,117
61,80,255,64,112
161,80,250,68,108
81,80,229,72,102
79,80,213,75,99
100,80,206,75,97
91,80,210,75,98
130,80,220,72,100
100,80,229,69,102
90,80,229,66,104
255,80,255,80,139
83,80,255,81,137
141,80,255,80,133
136,80,255,80,127
34,80,255,76,123
37,80,255,69,121
40,80,255,63,118
69,80,255,61,116
28,80,213,74,97
85,80,215,73,96
71,80,224,71,97
69,80,229,67,97
51,80,229,65,99
45,80,220,65,103
57,80,255,85,134
156,80,255,80,136
22,80,255,80,135
76,80,255,80,129
76,80,255,79,125
39,80,255,74,122
64,80,255,68,119
93,80,224,69,94
39,80,229,67,94
51,80,229,65,95
76,80,215,64,100
85,80,217,62,102
149,80,222,63,103
0,80,255,83,134
79,80,255,79,134
156,80,255,80,133
112,80,255,79,127
28,80,255,78,125
73,80,255,74,121
129,80,227,65,95
146,80,215,65,98
59,80,220,62,101
51,80,224,62,101
45,80,231,63,105
173,80,255,80,137
124,80,255,79,133
136,80,255,80,132
156,80,255,80,128
15,80,255,78,126
83,80,220,66,100
190,80,224,63,103
73,80,231,62,104
27,80,238,63,106
81,80,248,64,109
176,80,255,79,139
62,80,255,76,126
59,80,255,77,127
193,80,255,77,129
78,80,255,78,131
39,80,255,80,133
56,80,255,81,133
161,80,255,80,128
68,80,255,79,126
76,80,229,64,107
185,80,238,64,110
61,80,248,64,111
81,80,255,65,113
90,80,255,67,116
183,80,255,80,138
244,80,255,77,127
105,80,255,78,128
170,80,255,78,129
64,80,255,78,130
168,80,255,80,133
129,80,255,81,134
79,80,255,80,128
49,80,255,66,116
56,80,255,66,116
81,80,255,70,113
105,80,255,74,111
25,80,255,80,110
119,80,255,77,143
255,80,255,78,128
241,80,255,79,130
134,80,255,80,132
130,80,255,80,134
64,80,255,81,136
79,80,255,67,118
100,80,255,70,112
79,80,255,75,106
64,80,255,83,102
149,80,255,92,102
124,80,255,72,146
180,80,255,79,130
74,80,255,80,132
130,80,255,81,134
51,80,255,76,104
81,80,255,86,98
190,80,255,96,95
159,80,255,102,99
195,80,255,68,143
175,80,255,72,142
188,80,255,79,123
209,80,255,95,97
209,80,255,102,97
136,80,255,107,99
178,80,255,69,137
207,80,255,71,137
120,80,238,77,108
105,80,255,94,99
180,80,255,100,98
161,80,255,107,99
170,80,255,103,106
83,80,255,73,130
93,80,255,75,129
90,80,210,75,92
188,80,255,98,101
91,80,255,103,102
185,80,255,101,107
141,80,255,95,112
139,80,255,88,116
37,80,255,77,122
27,80,255,80,120
40,80,255,84,116
23,80,255,72,128
134,80,255,70,131
166,80,180,72,77
139,80,255,100,104
164,80,255,99,109
120,80,255,94,114
176,80,255,88,118
146,80,255,84,121
61,80,255,81,115
74,80,255,85,111
61,80,255,89,108
71,80,255,89,108
81,80,255,84,117
22,80,255,75,126
71,80,255,70,129
54,80,255,75,130
54,80,255,76,130
79,80,250,65,92
76,80,155,68,63
168,80,255,98,106
129,80,255,97,111
51,80,255,92,117
56,80,255,87,120
49,80,255,84,122
56,80,255,88,105
51,80,255,92,100
44,80,255,92,102
34,80,255,80,117
74,80,255,72,127
27,80,255,69,118
69,80,255,67,118
91,80,255,65,114
122,80,255,65,107
188,80,255,68,103
198,80,255,66,97
40,80,134,65,49
30,80,255,95,112
59,80,255,91,119
64,80,255,87,122
22,80,255,85,123
28,80,255,84,123
137,80,127,66,42
57,80,255,94,113
23,80,255,90,119
15,80,255,86,123
28,80,255,85,123
51,80,255,84,123
56,80,120,63,38
112,80,255,94,114
200,80,255,91,120
193,80,255,87,122
197,80,255,85,124
205,80,255,87,120
187,80,255,91,118
35,80,118,62,39
170,80,255,92,118
178,80,255,90,121
207,80,255,89,120
188,80,255,89,117
192,80,255,93,115
59,80,108,65,44
212,80,255,94,116
136,80,255,93,117
255,80,255,92,116
96,80,255,92,115
185,80,255,93,114
100,80,95,62,40
151,80,255,95,115
192,80,255,96,113
151,80,255,96,113
83,80,255,95,112
115,80,255,92,113
93,80,255,93,113
69,80,85,63,48
151,80,255,94,115
117,80,255,95,113
56,80,255,99,110
79,80,255,99,108
59,80,255,96,109
129,80,255,91,112
42,80,255,87,115
5,80,81,57,47
51,80,255,94,116
23,80,255,96,113
22,80,255,101,107
51,80,255,103,104
96,80,255,97,108
59,80,255,91,112
27,80,255,86,116
40,80,81,53,48
40,80,88,57,56
71,80,255,99,117
64,80,255,94,118
83,80,255,98,113
74,80,255,102,106
61,80,255,103,104
90,80,255,98,109
108,80,255,90,113
25,80,92,55,55
49,80,106,62,60
112,80,255,103,119
120,80,255,101,118
96,80,255,103,114
37,80,255,106,108
62,80,255,103,108
79,80,255,98,110
88,80,111,59,59
17,80,132,64,62
49,80,255,111,118
64,80,255,109,121
39,80,255,109,119
69,80,255,109,116
112,80,255,107,112
100,80,255,103,112
34,80,136,60,62
156,80,255,110,120
83,80,255,115,123
74,80,255,116,120
61,80,255,115,118
61,80,255,110,116
49,80,143,56,62
39,80,171,56,66
119,80,255,110,121
198,80,255,113,120
146,80,255,121,123
188,80,255,125,121
175,80,255,123,120
37,80,146,52,62
90,80,171,53,66
183,80,255,101,122
124,80,255,104,121
20,80,255,110,121
105,80,255,115,120
170,80,255,125,121
125,80,255,131,119
124,80,255,126,119
115,81,204,74,105
202,81,192,75,98
45,81,255,73,129
83,81,255,80,116
255,81,201,80,99
51,81,255,81,119
255,81,208,83,101
71,81,255,82,122
255,81,220,89,103
40,81,255,81,128
69,81,255,83,125
39,81,255,80,117
0,81,255,88,113
62,81,255,82,132
193,81,255,82,128
151,81,255,80,120
180,81,255,87,115
45,81,255,81,139
51,81,255,82,138
74,81,255,83,137
164,81,255,83,133
187,81,255,82,124
198,81,255,83,128
154,81,255,83,139
188,81,255,84,144
200,81,255,84,145
187,81,255,85,147
198,81,255,85,145
164,81,255,84,144
248,81,255,82,142
181,81,255,82,142
54,81,255,83,141
83,81,255,82,137
105,81,255,82,128
83,81,255,82,122
124,81,255,81,117
161,81,255,89,146
159,81,255,88,147
170,81,255,86,145
170,81,255,85,146
66,81,255,83,146
23,81,255,82,145
37,81,255,82,141
40,81,255,82,133
156,81,255,83,124
173,81,255,82,118
129,81,255,79,113
47,81,255,75,114
161,81,255,89,148
190,81,255,88,148
195,81,255,88,148
202,81,255,86,149
178,81,255,84,151
125,81,255,82,150
136,81,255,81,146
141,81,255,82,137
10,81,255,85,127
11,81,255,83,120
88,81,255,81,115
120,81,255,75,114
34,81,255,67,117
69,81,250,63,114
78,81,90,48,35
110,81,69,52,39
134,81,255,89,145
147,81,255,89,147
183,81,255,89,150
175,81,255,89,150
156,81,255,86,152
166,81,255,85,153
244,81,255,83,154
175,81,255,82,149
164,81,255,83,140
141,81,255,86,130
79,81,255,87,120
76,81,255,83,114
69,81,255,74,112
32,81,255,66,119
54,81,255,58,116
78,81,245,62,106
74,81,215,68,102
45,81,187,75,99
54,81,231,64,90
188,81,255,88,142
204,81,255,88,146
175,81,255,88,148
176,81,255,88,150
171,81,255,86,152
146,81,255,85,153
134,81,255,84,154
141,81,255,82,150
180,81,255,82,141
146,81,255,86,130
115,81,255,88,121
22,81,255,83,115
71,81,255,73,113
22,81,255,64,118
98,81,255,58,115
91,81,245,62,107
90,81,217,68,101
73,81,192,74,98
45,81,180,79,100
61,81,187,81,104
71,81,206,77,112
102,81,227,74,118
156,81,255,87,138
170,81,255,86,141
185,81,255,87,144
180,81,255,86,146
202,81,255,85,149
175,81,255,84,151
110,81,255,83,151
195,81,255,81,147
49,81,243,62,107
35,81,220,68,102
93,81,194,75,99
98,81,185,78,99
127,81,190,80,103
103,81,208,76,109
20,81,227,73,114
13,81,238,70,116
105,81,255,82,140
154,81,255,85,133
209,81,255,85,137
187,81,255,84,139
136,81,255,84,142
154,81,255,83,144
120,81,255,83,146
73,81,255,82,147
57,81,197,77,103
134,81,210,75,107
119,81,227,72,109
141,81,238,69,112
13,81,234,69,112
